cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students,user_ids
672,13.087454002337362,79.90792374393891,13.0878362,79.9078334,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,174970677,43.61,2,"5286,6601"
673,12.91476787175918,80.19608858146009,12.914408,80.1947926,Semmozhi Salai,arterial,1194208595,146.05,1,7058
674,13.1587716,80.2446411,13.1587987,80.2439751,Unnamed secondary Road,arterial,1193479607,72.17,1,3434
675,12.8718292,80.0474893,12.8918791,80.0399518,Marmalong Bridge - Irumbuliyur - Vandalur - Mudichur - Oragadam - Walajabad Road,arterial,729835686,2374.44,1,2769
676,13.0402544,79.8171222,13.0364566,79.8173636,Thandalam - Perambakkam - Thakkolam - Arugilpadi Road,arterial,95385707,423.1,1,344
677,13.138696917615698,80.1360889811062,13.1307425,80.1348594,Chennai - Tiruttani - Renigunta Road,highway,389722996,894.46,3,"336,2920,5024"
678,13.06900255,80.2656512,13.069723,80.2664796,Adithanar Road,arterial,1261397619,120.29,2,"4296,6584"
679,13.2883194,80.1486684,13.2885987,80.1486936,Grand Northern Trunk Road,highway,346019779,31.18,1,3534
680,13.108945250357374,80.17388963241035,13.1089913,80.1738704,Unnamed secondary Road,arterial,768139894,5.53,1,4234
681,13.056545874304533,80.10463943106255,13.0571753,80.1047784,NH48,highway,1235471443,71.59,2,"97,2700"
682,13.03698428105933,80.1489661531576,13.0364271,80.1491479,Chennai Bypass Expressway,highway,1395216464,65.01,1,4388
683,13.044010038115111,80.09255808188662,13.0499031,80.0913897,Chennai - Chittoor - Bangalore Road (Old NH4),arterial,31962667,667.39,1,6529
684,12.739673499122285,79.98603015813836,12.738368,79.9884719,Grand Southern Trunk Road,highway,1349158493,302.0,1,5
685,13.3035934,80.1604657,13.3027262,80.1619041,Chennai – Pulicut Road,arterial,1284548149,183.1,1,7136
686,12.7982246,79.81388179999999,12.7934911,79.8125773,Chengalpattu - Kancheepuram Highway,highway,84658039,545.02,1,844
687,13.093678,80.19848999999999,13.0934768,80.198525,Jawaharlal Nehru Road (100 Feet Road),arterial,669057795,22.69,2,"2357,6094"
688,13.054451,80.1024399,13.0572643,80.1027366,NH48,highway,1235471443,314.47,1,5690
689,13.09144157026456,79.91014418402855,13.0913813,79.9077557,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,174970677,258.77,1,4761
690,13.11187207195081,80.23820176507999,13.1119873,80.2381422,Paper Mills Road,arterial,1112992445,14.34,1,406
