stop_id,stop_name,latitude,longitude,num_students,is_depot,is_school
S207,Pickup Stop 207,13.1607411,80.3024955,8,False,False
S208,Pickup Stop 208,13.0903791,80.1238186,4,False,False
S209,Pickup Stop 209,13.0332055,80.2383291,7,False,False
S210,Pickup Stop 210,13.0436252,80.115125,32,False,False
S211,Pickup Stop 211,12.8863302,80.0793426,5,False,False
S212,Pickup Stop 212,13.1439096,80.1902892,5,False,False
S213,Pickup Stop 213,13.0673358,80.1520855,8,False,False
S214,Pickup Stop 214,13.0591456,80.2116665,17,False,False
S215,Pickup Stop 215,13.0131711,80.1715601,5,False,False
S216,Pickup Stop 216,13.0731491,80.1896355,6,False,False
S217,Pickup Stop 217,13.0242352,80.0232451,2,False,False
S218,Pickup Stop 218,12.9250316,80.1108545,6,False,False
S219,Pickup Stop 219,13.156321,80.196405,5,False,False
S220,Pickup Stop 220,13.0714633,80.2416141,5,False,False
S221,Pickup Stop 221,12.8380984,79.7277504,6,False,False
S222,Pickup Stop 222,12.9079606,80.14276,6,False,False
S223,Pickup Stop 223,13.1288541,80.215692,16,False,False
S224,Pickup Stop 224,13.098807,80.1320216,7,False,False
S225,Pickup Stop 225,13.1251146,80.0420347,5,False,False
S226,Pickup Stop 226,13.1214127,80.2593309,9,False,False
S227,Pickup Stop 227,13.1092007,80.095096,9,False,False
S228,Pickup Stop 228,13.0767159,80.2051543,11,False,False
S229,Pickup Stop 229,13.0324539,80.2184352,17,False,False
S230,Pickup Stop 230,13.0377577,80.2783566,11,False,False
S231,Pickup Stop 231,13.0281033,80.17086,7,False,False
S232,Pickup Stop 232,13.0480609,80.2627831,6,False,False
S233,Pickup Stop 233,13.0356667,79.8153941,3,False,False
S234,Pickup Stop 234,13.0399718,80.1494906,6,False,False
S235,Pickup Stop 235,12.9539225,80.1618265,2,False,False
S236,Pickup Stop 236,13.166651,79.6151085,2,False,False
S237,Pickup Stop 237,13.069554,80.181279,10,False,False
S238,Pickup Stop 238,13.1338671,80.2926645,4,False,False
S239,Pickup Stop 239,12.9098737,80.1428582,6,False,False
S240,Pickup Stop 240,13.1589007,80.0617797,5,False,False
S241,Pickup Stop 241,13.1022145,80.1068079,12,False,False
E1,Main School (End Point),12.9236,80.1437,0,False,True
