cluster_id,latitude,longitude,student_count,avg_distance_km,max_distance_km,nearest_stop_distance_km
139,13.070436505783414,80.18397181507869,12,0.4191337768583958,0.8404681277341483,1.026048714729328
140,13.063243443684609,80.14799590282836,19,0.5789804775001299,1.31381754159309,1.9828548067481642
142,12.91311638459185,80.23596075771262,3,1.143848540488149,1.6597330404575548,4.305641319526368
144,13.085849875832018,80.25051561447879,23,0.4899352277893135,0.904851596227586,1.6069997420384352
145,12.90931474948337,80.14232227427134,11,0.34894127273962633,0.5746282343363194,1.4178166738329447
146,13.061006366050151,80.27292227302118,22,0.4148588993686047,1.302069473517192,0.8856910260154248
147,13.033929374756678,80.20046932682637,15,0.5077103168839476,1.0275347463981175,1.102850729329963
148,13.07170592527643,80.12398247954302,9,0.28796315944165485,0.585227978736844,2.0024631126840626
149,12.906070878279248,80.09473049827581,14,0.29218741072981597,0.8241593302752638,1.7061623130049641
150,13.170768378134886,80.19904578492358,5,0.6840581713412753,1.678613098491981,2.3131452281615443
151,12.944259142383693,80.20524381625361,15,0.8272456492190009,1.2485929251944985,2.2174166763500476
152,13.12410344591549,79.9116999103735,17,0.14919591313376587,0.6608573708501598,1.4399995058756954
